idPrd	codePrd	libPrd	prixAchat	puVente	ccQteStock
1	PRDMIGRATION	PRDMIGRATION	NULL	0	0
2	3571940000179	NOREVA TRIO WHITE XP SOIN DE JOUR FL30ML	850	1590	10
3	3571940002180	NOREVA TRIO WHITE XP CREME DE NUIT FL30ML	850	1350	10
4	3571940000186	NOREVA TRIO WHITE XP SERUM 30ML	990	1560	10
5	3571940000193	NOREVA TRIO WHITE XP SOIN DE JOUR SPF 50+ FL40ML	970	1550	10
6	3401572288297	BIO SEBIUM H2O F250ML	300	430	10
7	3401353806399	BIO SEBIUM GEL MOUSSANT T200 ML	400	580	10
8	3401572288129	BIO CREALINE H2O F250ML	380	780	10
9	3701129805008	BIO CREALINE H2O F500ML	480	1020	10
10	3401564695546	BIO CICABIO CREME 50+ T30ML	470	770	10
11	3701129805343	BIO ATODERM CREME ULTRA 500ML	420	830	10
12	3401399694127	BIO HYDRABIO H2O 250ML	520	750	10
13	3701129800119	BIO PIGMENTBIO C-CONCENTRATE F15ML	960	1520	10
14	3701129800096	BIO PIGMENTBIO SENSITIVE AREAS T75ML	540	700	10
15	3701129800072	BIO PIGMENTBIO DAILY CARE SPF50+	801	1280	10
16	3701129800553	BIO PIGMENTBIO FOAMING CREAM F500ML	900	1380	10
17	3701129807385	BIO PHOTODERM MAX AQUAFLUIDE  SPF50 NEUTRE T40ml	600	950	10
18	3401399277092	BIO SEBIUM GEL MOUSSANT FP 500 ML	720	980	10
19	3337875597388	CERAVE BAUME HYDRATANT 454ML	490	780	10
20	3337875597180	CERAVE CREME LAVANTE 236ML	300	480	10
21	3337875597333	CERAVE CREME LAVANTE 473ML	380	600	10
22	3337875743563	CERAVE CREME MOUSSANTE 236ML	330	530	10
23	3337875597272	CERAVE CREME REPARATRICE YEUX 15ML	370	590	10
24	3337875684101	CERAVE CREME SA ANTI RUGOSITES 340ML	470	750	10
25	3337875684118	CERAVE GEL NETTOYANT ANTI RUGOSITES 236ML	323	520	10
26	3337875597449	CERAVE CREME VISAGE NUIT 52ML	400	630	10
27	3337875597197	CERAVE GEL MOUSSANT 236ML	330.05	550	10
28	3337875597357	CERAVE GEL MOUSSANT 473ML	399.9	640	10
29	3337875597210	CERAVE LAIT HYDRATANT 236ML	320	480	10
30	3337875597395	CERAVE LAIT HYDRATANT 473ML	470	750	10
31	3337875597227	CERAVEBAUME HYDRATANT 340g	390	630	10
32	3337875784054	CERAVEGEL MOUSSANT ANTI-IMPERF 236ML	350	550	10
33	3337875795456	CERAVEGEL NETTOYANT ANTI RUGOSITES 473ML	468	650	10
34	3337875840620	CERAVE CREME HYDRATANTE VISAGE SPF30+ 52ML	430	670	10
35	3337875597203	EUC EAU MICELLAIRE 295ML	360	570	10
36	4005800210617	EUC ANTI-PIGMENT SERUM DUO FP30ML	1560	2490	10
37	4005800347467	EUC ANTI-PIGMENT GEL NETTOYANT FP400ML	650	1020	10
38	4005800323713	EUC ANTI-PIGMENT SOIN CONT. YEUX ILLUMIN. CORRECT. CERNEST 15ML	1190	1740	10
39	4005800213014	EUC ANTI-PIGMENT SOIN DE JOUR FP50ML	1190	1740	10
40	4005800320712	EUC SUN PHOTOAGING CONTROL FLUID SPF 50 L-P 50 ML	720	1100	10
41	4005800147388	EUC SUN HYDRO PROTECT FLUIDE ULTRA-LEGER SPF 50+T-CANULE 50ML	720	1050	10
42	3282770145175	DUC KERACNYL UV SPF50+ FLUID 50ML	500	700	10
43	3282770205626	DUC ICTYANE ECLAT LAIT 400ML	730	1200	10
44	3282770208849	DUC ICTYANE PAIN  100 G	200	320	10
45	3282779370660	DUC ICTYANE STICK LEVRE TREALO 3G	170	270	10
46	3282770141320	DUC KERACNYL SOIN PP 30ML	370	590	10
47	3282770075533	DUC ANAPHASE SHP 200 ML	320	520	10
48	3282770204780	DUC ICTYANE LAIT HYDRATANT 400 ML	560	900	10
49	3282770389593	DUC MELASCREEN SERUM ECLAT 40ML	780	1240	10
50	3282770389272	DUC MELASCREEN FLUIDE 50+ 50ML	450	700	10
51	3282770141382	DUC KERACNYL GEL MOUSANT 400 ML	440	680	10
52	3282770073683	DUC ANAPHAS APRES SHAMPO 200ML	360	580	10
53	3282770203455	DUC ICTYANE CREME MAINS 50 ML	230	290	10
54	3282770114096	AVN TriXera PAIN COLD CR 100G	180	290	10
55	3282770207811	AVN CLEANANCE EAU MICELLAIRE 400 ML	348.5	570	10
56	3282770390414	AVN CLEANANCE COMEDOMED ANTI-IMP 30ML	470	760	10
57	3282770392654	AVN ULTRA FLUIDE 50+ 50ML	500	800	10
58	3282770019919	AVN CLEANANCE SAVON 100G	170	270	10
59	3282770389883	AVN XERACALM HUILE 400 ML	530	850	10
60	3282770393477	AVN VITAMIN ACTIV Cg SERUM 30ML	950	1490	10
61	3282770207774	AVN CLEANANCE GEL 400 ML	480	770	10
62	3282770139204	AVN CLEANANCE GEL 200 ML	360	580	10
63	3337875890069	LRP LRP MELA B3 GEL MICROPEELING 200ML	580	770	10
64	3337875694469	LRP LRP RETINOL B3 SERUM 30ML	980	1380	10
65	3337872413025	LRP LRP EFFACLAR MAT T40ML	400	640	10
66	3337875816847	LRP CICAPLAST BALM B5 T100ML	510	780	10
67	3337875863377	LRP EFFACLAR DUO+ CR T40ML	400	650	10
68	3433422404533	LRP LIPIKAR PAIN SURGRAS 150 GM	180	290	10
69	3337875613491	LRP EFFACLAR K+ T30ML FREN	446.2	720	10
70	3433422408357	LRP EFFACLAR EAU MICEL FL200ML	370	590	10
71	3433422408159	LRP EFFACLAR LT ASTRING F200ML	380	610	10
72	3337875549486	LRP EFFACLAR GEL MOUSS T300ML	360.75	580	10
73	3337875545822	LRP TOLERIANE GEL MOUSSANT 400ML	590	950	10
74	3337875722827	LRP EFFACLAR SERUM ULTRA CONCEN 30ML	830	1330	10
75	3337875537315	LRP LIPIKAR SYNDET AP+ FL400ML	430	670	10
76	3433422404403	LRP EAU THERMALE  300ML	340	550	10
77	3337875583626	LRP HYALU B5 SERUM 30ML	980	1570	10
78	3337872411083	LRP EFFACLAR GEL MOUSS T200ML	334	540	10
79	3337875548519	LRP CICAPLAST GEL LAVANT B5 200ML	420	670	10
80	3337872418785	LRP LIPIKAR GEL LAVANT 400ML	400	640	10
81	3337875797719	LRP ANT UVMUNE ULTCR SP50+ T50ML	470	750	10
82	3337875546430	LRP ANT UVMUNE OILCONT. GEL-CREME SPF50+T50ML	470	750	10
