product_id,code,name,cached_stock,actual_stock,difference,status,issue
1,PRDMIGRATION,PRDMIGRATION,0.0,0.0,0.0,OK,
2,3571940000179,NOREVA TRIO WHITE XP SOIN DE JOUR FL30ML,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
3,3571940002180,NOREVA TRIO WHITE XP CREME DE NUIT FL30ML,10.0,0.0,-10.0,MISMATCH,CACHE_MISMATCH
4,3571940000186,NOREVA TRIO WHITE XP SERUM 30ML,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
5,3571940000193,NOREVA TRIO WHITE XP SOIN DE JOUR SPF 50+ FL40ML,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
6,3401572288297,BIO SEBIUM H2O F250ML,10.0,0.0,-10.0,MISMATCH,CACHE_MISMATCH
7,3401353806399,BIO SEBIUM GEL MOUSSANT T200 ML,10.0,0.0,-10.0,MISMATCH,CACHE_MISMATCH
8,3401572288129,BIO CREALINE H2O F250ML,10.0,2.0,-8.0,MISMATCH,CACHE_MISMATCH
9,3701129805008,BIO CREALINE H2O F500ML,10.0,0.0,-10.0,MISMATCH,CACHE_MISMATCH
10,3401564695546,BIO CICABIO CREME 50+ T30ML,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
11,3701129805343,BIO ATODERM CREME ULTRA 500ML,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
12,3401399694127,BIO HYDRABIO H2O 250ML,10.0,0.0,-10.0,MISMATCH,CACHE_MISMATCH
13,3701129800119,BIO PIGMENTBIO C-CONCENTRATE F15ML,10.0,2.0,-8.0,MISMATCH,CACHE_MISMATCH
14,3701129800096,BIO PIGMENTBIO SENSITIVE AREAS T75ML,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
15,3701129800072,BIO PIGMENTBIO DAILY CARE SPF50+,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
16,3701129800553,BIO PIGMENTBIO FOAMING CREAM F500ML,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
17,3701129807385,BIO PHOTODERM MAX AQUAFLUIDE  SPF50 NEUTRE T40ml,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
18,3401399277092,BIO SEBIUM GEL MOUSSANT FP 500 ML,10.0,0.0,-10.0,MISMATCH,CACHE_MISMATCH
19,3337875597388,CERAVE BAUME HYDRATANT 454ML,10.0,0.0,-10.0,MISMATCH,CACHE_MISMATCH
20,3337875597180,CERAVE CREME LAVANTE 236ML,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
21,3337875597333,CERAVE CREME LAVANTE 473ML,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
22,3337875743563,CERAVE CREME MOUSSANTE 236ML,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
23,3337875597272,CERAVE CREME REPARATRICE YEUX 15ML,10.0,3.0,-7.0,MISMATCH,CACHE_MISMATCH
24,3337875684101,CERAVE CREME SA ANTI RUGOSITES 340ML,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
25,3337875684118,CERAVE GEL NETTOYANT ANTI RUGOSITES 236ML,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
26,3337875597449,CERAVE CREME VISAGE NUIT 52ML,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
27,3337875597197,CERAVE GEL MOUSSANT 236ML,10.0,0.0,-10.0,MISMATCH,CACHE_MISMATCH
28,3337875597357,CERAVE GEL MOUSSANT 473ML,10.0,2.0,-8.0,MISMATCH,CACHE_MISMATCH
29,3337875597210,CERAVE LAIT HYDRATANT 236ML,10.0,2.0,-8.0,MISMATCH,CACHE_MISMATCH
30,3337875597395,CERAVE LAIT HYDRATANT 473ML,10.0,0.0,-10.0,MISMATCH,CACHE_MISMATCH
31,3337875597227,CERAVEBAUME HYDRATANT 340g,10.0,0.0,-10.0,MISMATCH,CACHE_MISMATCH
32,3337875784054,CERAVEGEL MOUSSANT ANTI-IMPERF 236ML,10.0,3.0,-7.0,MISMATCH,CACHE_MISMATCH
33,3337875795456,CERAVEGEL NETTOYANT ANTI RUGOSITES 473ML,10.0,0.0,-10.0,MISMATCH,CACHE_MISMATCH
34,3337875840620,CERAVE CREME HYDRATANTE VISAGE SPF30+ 52ML,10.0,0.0,-10.0,MISMATCH,CACHE_MISMATCH
35,3337875597203,EUC EAU MICELLAIRE 295ML,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
36,4005800210617,EUC ANTI-PIGMENT SERUM DUO FP30ML,10.0,0.0,-10.0,MISMATCH,CACHE_MISMATCH
37,4005800347467,EUC ANTI-PIGMENT GEL NETTOYANT FP400ML,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
38,4005800323713,EUC ANTI-PIGMENT SOIN CONT. YEUX ILLUMIN. CORRECT.,10.0,2.0,-8.0,MISMATCH,CACHE_MISMATCH
39,4005800213014,EUC ANTI-PIGMENT SOIN DE JOUR FP50ML,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
40,4005800320712,EUC SUN PHOTOAGING CONTROL FLUID SPF 50 L-P 50 ML,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
